game_id,points,offense,defense,offense_mean_rank,offense_median_rank,offense_trimmed_rank,defense_mean_rank,defense_median_rank,defense_trimmed_rank,mean_rank_diff,median_rank_diff,trimmed_rank_diff,rf_pred
641,31,BYU,UNLV,104.12,106,104.47,102.19,102,102.21,1.9300000000000068,4,2.260000000000005,22.271171814556926
643,21,Army,Duke,54.96,55,54.6,53.03,51,52.77,1.9299999999999997,4,1.8299999999999983,24.43062439602232
644,17,NC State,Boston College,25.34,24,25.05,30.96,29,30.52,-5.620000000000001,-5,-5.469999999999999,26.39998099100241
645,35,MTSU,Charlotte,92.5,94,92.62,126.26,127,126.63,-33.760000000000005,-33,-34.00999999999999,33.80652588844791
646,31,Clemson,Florida St,2.1,2,2.05,40.13,39,39.82,-38.03,-37,-37.77,34.86045100003035
647,42,Troy,Coastal Car,48.22,46,48.03,119.83,121,120,-71.61,-75,-71.97,42.92740129263454
648,31,Tulane,East Carolina,80.4,79,80.31,107.55,108,107.72,-27.14999999999999,-29,-27.409999999999997,37.24105079027925
649,37,Old Dominion,Florida Intl,108.61,108,108.74,77.11,77,77.06,31.5,31,31.679999999999993,25.668615861175205
650,28,Georgia Tech,Virginia Tech,48.67,48,48.54,19.41,19,19.25,29.26,29,29.29,25.564829131299106
651,38,Louisville,Virginia,27.51,27,27.26,63.33,62,63.21,-35.81999999999999,-35,-35.95,32.381612993733825
652,30,Marshall,WKU,73.74,76,73.68,101.64,102,101.86,-27.900000000000006,-26,-28.179999999999993,33.501244864932154
653,35,Michigan,Maryland,23.2,22,22.91,75.53,74,75.65,-52.33,-52,-52.74000000000001,34.68314189581158
654,41,Miami FL,Notre Dame,12.94,12,12.89,11.16,10,10.99,1.7799999999999994,2,1.9000000000000004,28.47274487264807
655,43,Navy,SMU,51.61,52,51.33,58.7,59,58.42,-7.090000000000003,-7,-7.090000000000003,35.98457672048749
656,48,Ohio St,Michigan St,4.96,5,4.88,20.78,18,20.55,-15.82,-13,-15.670000000000002,35.444246263607845
657,35,Penn St,Rutgers,7.69,7,7.54,92.08,92,92.05,-84.39,-85,-84.50999999999999,44.269589379438095
658,28,South Carolina,Florida,38.11,36,37.84,69.78,70,69.85,-31.67,-34,-32.00999999999999,30.085095235159958
659,64,Wake Forest,Syracuse,32.82,32,32.49,73.23,71,73.23,-40.410000000000004,-39,-40.74,41.13772854240732
660,49,UCF,Connecticut,9.1,8,8.95,108.29,109,108.49,-99.19000000000001,-101,-99.53999999999999,46.88641821300483
661,40,Auburn,Georgia,8.66,9,8.62,2.73,2,2.68,5.93,7,5.9399999999999995,22.188548831954275
662,24,Indiana,Illinois,62.31,62,62.21,107.92,108,108.22,-45.61,-46,-46.01,41.27531045451765
663,49,Oklahoma St,Iowa St,19.39,18.5,19.36,33.95,34,33.59,-14.560000000000002,-15.5,-14.230000000000004,31.61895598521641
664,28,West Virginia,Kansas St,44.8,44,44.59,45.64,46,45.47,-0.8400000000000034,-2,-0.8799999999999955,29.400478816897994
665,33,LSU,Arkansas,21.18,21,21.07,83.09,83,83.19,-61.910000000000004,-62,-62.12,39.846222059138306
