game_id,points,offense,defense,offense_mean,defense_mean
739,9,UT San Antonio,Marshall,92.49,73.74
740,45,Missouri,Vanderbilt,48.54,80.34
741,24,Wisconsin,Michigan,5.56,23.2
742,16,Massachusetts,BYU,105.98,104.12
743,44,Boise St,Air Force,29.91,91.62
744,42,Louisiana Tech,UTEP,88.91,129.25
745,38,Utah St,Hawaii,84.57,119.54
746,13,Fresno St,Wyoming,46.19,77.85
747,52,Ga Southern,South Alabama,120.79,114.65
748,13,Coastal Car,Idaho,119.83,112.71
749,48,Oregon,Arizona,39.78,50.7
750,40,Arizona St,Oregon St,41.44,115.88
751,17,Stanford,California,17.31,65.23
752,28,USC,UCLA,12.62,50.2
753,33,Washington,Utah,11.72,49.68
754,24,Notre Dame,Navy,11.16,51.61
755,42,San Diego St,Nevada,34.67,104.18
756,24,Akron,Kent,83.39,121.62
757,28,Miami OH,Ball St,97.8,125.54
758,34,E Michigan,Bowling Green,89.25,114.81
759,31,Mississippi,Mississippi St,62.27,26.12
760,31,Buffalo,Ohio,85.25,62.63
761,31,C Michigan,N Illinois,67.65,57.87
762,24,Pittsburgh,Miami FL,64.3,12.94
763,37,Toledo,W Michigan,32.47,78.47
764,49,UCF,South Florida,9.1,35.43
765,10,Virginia Tech,Virginia,19.41,63.33
766,24,Houston,Navy,48.13,51.61
767,56,Iowa,Nebraska,25.89,77.64
768,45,TCU,Baylor,15,104.83
769,27,Texas Tech,Texas,53.54,44.1
770,35,San Diego St,New Mexico,34.67,113.56
771,41,Florida Intl,WKU,77.11,101.64
772,48,Missouri,Arkansas,48.54,83.09
773,62,Troy,Texas St,48.22,126.47
774,30,UCLA,California,50.2,65.23
775,31,FL Atlantic,Charlotte,37.09,126.26
776,22,Cincinnati,Connecticut,101.84,108.29
777,38,Florida St,Florida,40.13,69.78
778,31,Appalachian St,Georgia St,71.49,105.35
779,38,Georgia,Georgia Tech,2.73,48.67
780,44,Louisville,Kentucky,27.51,57.89
781,28,Southern Miss,Marshall,78.7,73.74
782,66,Penn St,Maryland,7.69,75.53
783,31,Ohio St,Michigan,4.96,23.2
784,33,NC State,North Carolina,25.34,86.16
785,31,Purdue,Indiana,44.51,62.31
786,40,Michigan St,Rutgers,20.78,92.08
787,34,Clemson,South Carolina,2.1,38.11
788,42,Boston College,Syracuse,30.96,73.23
789,42,Vanderbilt,Tennessee,80.34,89.17
790,31,Duke,Wake Forest,53.03,32.82
791,26,Auburn,Alabama,8.66,5.06
792,42,Northwestern,Illinois,20.83,107.92
793,20,Kansas St,Iowa St,45.64,33.95
794,45,LSU,Texas A&M,21.18,45.46
795,34,Ga Southern,ULL,120.79,115.28
796,20,Louisiana Tech,UT San Antonio,88.91,92.49
797,67,Arkansas St,ULM,77.83,108.66
798,70,Memphis,East Carolina,21.31,107.55
799,41,MTSU,Old Dominion,92.5,108.61
800,31,Wisconsin,Minnesota,5.56,71.37
801,59,Oklahoma,West Virginia,4.97,44.8
802,58,Oklahoma St,Kansas,19.39,120.93
803,30,North Texas,Rice,65.82,125.18
804,41,SMU,Tulane,58.7,80.4
805,43,Temple,Tulsa,74.57,104.96
806,28,UAB,UTEP,89.48,129.25
807,38,Air Force,Utah St,91.62,84.57
808,42,Arizona St,Arizona,41.44,50.7
809,17,New Mexico St,Idaho,101.82,112.71
810,34,Utah,Colorado,49.68,77.62
811,23,Nevada,UNLV,104.18,102.19
812,69,Oregon,Oregon St,39.78,115.88
813,20,San Jose St,Wyoming,125.87,77.85
814,38,Stanford,Notre Dame,17.31,11.16
815,41,Washington,Washington St,11.72,24.7
816,28,Fresno St,Boise St,46.19,29.91
817,30,BYU,Hawaii,104.12,119.54
818,31,USC,Stanford,12.62,17.31
819,63,Appalachian St,ULL,71.49,115.28
820,28,Coastal Car,Ga Southern,119.83,120.79
821,24,Idaho,Georgia St,112.71,105.35
822,32,Troy,Arkansas St,48.22,77.83
823,22,New Mexico St,South Alabama,101.82,114.65
824,63,Florida Intl,Massachusetts,77.11,105.98
825,42,Florida St,ULM,40.13,108.66
826,62,UCF,Memphis,9.1,21.31
827,38,Clemson,Miami FL,2.1,12.94
828,41,FL Atlantic,North Texas,37.09,65.82
829,28,Georgia,Auburn,2.73,8.66
830,45,Toledo,Akron,32.47,83.39
831,27,Ohio St,Wisconsin,4.96,5.56
832,41,Oklahoma,TCU,4.97,15
833,17,Boise St,Fresno St,29.91,46.19
834,14,Army,Navy,54.96,51.61
835,50,Troy,North Texas,48.22,65.82
836,27,Georgia St,WKU,105.35,101.64
837,38,Boise St,Oregon,29.91,39.78
838,31,Marshall,Colorado St,73.74,77.44
839,35,MTSU,Arkansas St,92.5,77.83
840,50,FL Atlantic,Akron,37.09,83.39
841,51,Louisiana Tech,SMU,88.91,58.7
842,28,Temple,Florida Intl,74.57,77.11
843,41,Ohio,UAB,62.63,89.48
844,37,Wyoming,C Michigan,77.85,67.65
845,38,South Florida,Texas Tech,35.43,53.54
846,42,Army,San Diego St,54.96,34.67
847,34,Appalachian St,Toledo,71.49,32.47
848,33,Fresno St,Houston,46.19,48.13
849,30,Utah,West Virginia,49.68,44.8
850,36,Duke,N Illinois,53.03,57.87
851,35,Kansas St,UCLA,45.64,50.2
2,35,Massachusetts,Hawaii,105.98,119.54
3,27,Oregon St,Colorado St,115.88,77.44
4,22,San Jose St,South Florida,125.87,35.43
5,7,Rice,Stanford,125.18,17.31
15,21,Indiana,Ohio St,62.31,4.96
16,29,ULM,Memphis,108.66,21.31
17,7,Buffalo,Minnesota,85.25,71.37
18,31,New Mexico St,Arizona St,101.82,41.44
19,17,Florida Intl,UCF,77.11,9.1
20,24,Tulsa,Oklahoma St,104.96,19.39
23,7,Charlotte,E Michigan,126.26,89.25
24,14,Rutgers,Washington,92.08,11.72
25,20,N Illinois,Boston College,57.87,30.96
26,10,Utah St,Wisconsin,84.57,5.56
27,3,Colorado St,Colorado,77.44,77.62
28,19,FL Atlantic,Navy,37.09,51.61
64,3,Kent,Clemson,121.62,2.1
65,28,Massachusetts,Coastal Car,105.98,119.83
66,7,Florida St,Alabama,40.13,5.06
67,10,Appalachian St,Georgia,71.49,2.73
68,26,Miami OH,Marshall,97.8,73.74
69,10,Bowling Green,Michigan St,114.81,20.78
70,30,North Carolina,California,86.16,65.23
71,28,NC State,South Carolina,25.34,38.11
72,0,Akron,Penn St,83.39,7.69
73,28,Purdue,Louisville,44.51,27.51
74,7,Ga Southern,Auburn,120.79,8.66
75,0,BYU,LSU,104.12,21.18
76,17,Florida,Michigan,69.78,23.2
77,21,Ball St,Illinois,125.54,107.92
78,3,Wyoming,Iowa,77.85,25.89
79,36,Arkansas St,Nebraska,77.83,77.64
80,20,Nevada,Northwestern,104.18,20.83
81,7,UTEP,Oklahoma,129.25,4.97
82,27,South Alabama,Mississippi,114.65,62.27
83,41,Texas,Maryland,44.1,75.53
84,13,Troy,Boise St,48.22,29.91
85,31,W Michigan,USC,78.47,12.62
86,16,Temple,Notre Dame,74.57,11.16
87,17,Southern Miss,Kentucky,78.7,57.89
88,6,MTSU,Vanderbilt,92.5,80.34
89,44,Texas A&M,UCLA,45.46,50.2
90,24,West Virginia,Virginia Tech,44.8,19.41
91,41,Georgia Tech,Tennessee,48.67,89.17
94,21,Ohio,Purdue,62.63,44.51
95,7,South Alabama,Oklahoma St,114.65,19.39
119,17,Buffalo,Army,85.25,54.96
120,31,UAB,Ball St,89.48,125.54
121,10,Boston College,Wake Forest,30.96,32.82
122,6,Auburn,Clemson,8.66,2.1
123,17,Northwestern,Duke,20.83,53.03
124,7,Massachusetts,Old Dominion,105.98,108.61
125,14,Cincinnati,Michigan,101.84,23.2
